two_theta,CPS,ESD
30.92,8.33,1.414
30.94,8.33,1.414
30.96,8.33,1.414
30.98,12.5,1.732
31,12.5,1.732
31.02,4.17,1
31.04,37.5,3
31.06,16.67,2
31.08,8.33,1.414
31.1,16.67,2
31.12,0,0
31.14,12.5,1.732
31.16,12.5,1.732
31.18,8.33,1.414
31.2,8.33,1.414
31.22,4.17,1
31.24,8.33,1.414
31.26,4.17,1
31.28,4.17,1
31.3,12.5,1.732
31.32,12.5,1.732
31.34,20.83,2.236
31.36,0,0
31.38,16.67,2
31.4,4.17,1
31.42,20.83,2.236
31.44,4.17,1
31.46,8.33,1.414
31.48,29.17,2.646
31.5,4.17,1
31.52,20.83,2.236
31.54,12.5,1.732
31.56,16.67,2
31.58,20.83,2.236
31.6,12.5,1.732
31.62,4.17,1
31.64,4.17,1
31.66,8.33,1.414
31.68,16.67,2
31.7,12.5,1.732
31.72,0,0
31.74,12.5,1.732
31.76,12.5,1.732
31.78,12.5,1.732
31.8,29.17,2.646
31.82,4.17,1
31.84,4.17,1
31.86,4.17,1
31.88,8.33,1.414
31.9,8.33,1.414
31.92,0,0
31.94,29.17,2.646
31.96,4.17,1
31.98,12.5,1.732
32,12.5,1.732
32.02,29.17,2.646
32.04,8.33,1.414
32.06,16.67,2
32.08,0,0
32.1,12.5,1.732
32.12,29.17,2.646
32.14,33.33,2.828
32.16,25,2.449
32.18,16.67,2
32.2,16.67,2
32.22,16.67,2
32.24,8.33,1.414
32.26,16.67,2
32.28,25,2.449
32.3,12.5,1.732
32.32,0,0
32.34,12.5,1.732
32.36,8.33,1.414
32.38,16.67,2
32.4,8.33,1.414
32.42,4.17,1
32.44,4.17,1
32.46,0,0
32.48,12.5,1.732
32.5,16.67,2
32.52,4.17,1
32.54,16.67,2
32.56,12.5,1.732
32.58,0,0
32.6,8.33,1.414
32.62,12.5,1.732
32.64,8.33,1.414
32.66,8.33,1.414
32.68,4.17,1
32.7,8.33,1.414
32.72,8.33,1.414
32.74,4.17,1
32.76,12.5,1.732
32.78,0,0
32.8,16.67,2
32.82,16.67,2
32.84,12.5,1.732
32.86,8.33,1.414
32.88,8.33,1.414
32.9,8.33,1.414
32.92,4.17,1
32.94,0,0
32.96,0,0
32.98,25,2.449
33,12.5,1.732
33.02,12.5,1.732
33.04,8.33,1.414
33.06,4.17,1
33.08,16.67,2
33.1,8.33,1.414
33.12,0,0
33.14,0,0
33.16,4.17,1
33.18,4.17,1
33.2,29.17,2.646
33.22,8.33,1.414
33.24,37.5,3
33.26,8.33,1.414
33.28,0,0
33.3,12.5,1.732
33.32,12.5,1.732
33.34,0,0
33.36,20.83,2.236
33.38,8.33,1.414
33.4,20.83,2.236
33.42,16.67,2
33.44,16.67,2
33.46,4.17,1
33.48,12.5,1.732
33.5,8.33,1.414
33.52,8.33,1.414
33.54,0,0
33.56,12.5,1.732
33.58,12.5,1.732
33.6,16.67,2
33.62,20.83,2.236
33.64,25,2.449
33.66,12.5,1.732
33.68,8.33,1.414
33.7,8.33,1.414
33.72,16.67,2
33.74,16.67,2
33.76,12.5,1.732
33.78,4.17,1
33.8,12.5,1.732
33.82,16.67,2
33.84,8.33,1.414
33.86,16.67,2
33.88,4.17,1
33.9,4.17,1
33.92,16.67,2
33.94,12.5,1.732
33.96,16.67,2
33.98,4.17,1
34,8.33,1.414
34.02,12.5,1.732
34.04,16.67,2
34.06,8.33,1.414
34.08,4.17,1
34.1,16.67,2
34.12,4.17,1
34.14,4.17,1
34.16,4.17,1
34.18,20.83,2.236
34.2,12.5,1.732
34.22,4.17,1
34.24,16.67,2
34.26,20.83,2.236
34.28,16.67,2
34.3,16.67,2
34.32,16.67,2
34.34,4.17,1
34.36,20.83,2.236
34.38,20.83,2.236
34.4,12.5,1.732
34.42,20.83,2.236
34.44,16.67,2
34.46,20.83,2.236
34.48,8.33,1.414
34.5,25,2.449
34.52,33.33,2.828
34.54,8.33,1.414
34.56,12.5,1.732
34.58,8.33,1.414
34.6,8.33,1.414
34.62,16.67,2
34.64,8.33,1.414
34.66,12.5,1.732
34.68,12.5,1.732
34.7,12.5,1.732
34.72,16.67,2
34.74,8.33,1.414
34.76,12.5,1.732
34.78,20.83,2.236
34.8,29.17,2.646
34.82,16.67,2
34.84,25,2.449
34.86,25,2.449
34.88,45.83,3.317
34.9,37.5,3
34.92,50,3.464
34.94,58.33,3.742
34.96,162.5,6.245
34.98,383.33,9.592
35,629.17,12.288
35.02,450,10.392
35.04,237.5,7.55
35.06,58.33,3.742
35.08,41.67,3.162
35.1,45.83,3.317
35.12,29.17,2.646
35.14,50,3.464
